mp_id,imp_kwh,imp_days,imp_night_kwh,exp_kwh,exp_days,exp_midday_days,best_summer_days,best_summer_midday_days,peak_slot_med
35985,46974.469818115234,1239,7037.842018127441,0.0,1239,0,0,0,
35986,13968.643043518066,1239,3350.7179832458496,0.0,1239,0,0,0,
35987,25851.643035888672,1239,2031.8320121765137,0.0,1239,0,0,0,
35988,26985.92807006836,1239,6643.586959838867,0.0,1239,0,0,0,
36005,19197.133026123047,1270,2303.3309898376465,0.0,1270,0,0,0,
36006,22363.236099243164,1270,2824.8399963378906,0.0,1270,0,0,0,
36007,21440.526977539062,1270,2467.7400121688843,0.0,1270,0,0,0,
36008,39927.457275390625,1270,3877.382999420166,0.0,1270,0,0,0,
36009,9580.925994873047,1270,604.2169990539551,0.0,1270,0,0,0,
36010,3846.6569986343384,1270,416.1710078706965,0.0,1270,0,0,0,
36011,31477.058883666992,1270,3474.8730030059814,0.0,1270,0,0,0,
36012,9185.412011146545,1270,269.343001306057,0.0,1270,0,0,0,
36013,14185.908950805664,1270,1109.211002588272,0.0,1270,0,0,0,
36014,3444.0600090026855,1270,162.65100240707397,0.0,1270,0,0,0,
36015,9690.265975952148,1270,1005.2199983596802,0.0,1270,0,0,0,
36016,10277.156951904297,1270,828.6240091323853,0.0,1270,0,0,0,
36017,4499.379997253418,1270,465.6900019645691,0.0,1270,0,0,0,
36018,4809.444996833801,1270,223.85599900782108,0.0,1270,0,0,0,
36019,2526.1509895324707,1270,128.0169993042946,0.0,1270,0,0,0,
36020,10958.778945922852,1270,529.4489979743958,0.0,1270,0,0,0,
36021,8552.484985351562,1270,670.9100017547607,0.0,1270,0,0,0,
36022,43637.644104003906,1270,9507.11605834961,0.0,1270,0,0,0,
36023,7943.230994462967,1239,1591.3499865531921,0.0,1239,0,0,0,
36024,0.0,1239,0.0,0.0,1239,0,0,0,
36025,3941.3429946899414,1270,191.6990008354187,0.0,1270,0,0,0,
36026,19839.673065185547,1270,1526.2409992218018,0.0,1270,0,0,0,
36027,4205.085052490234,1239,975.3120212554932,0.0,1239,0,0,0,
36028,42537.43280029297,1270,4979.080047607422,0.0,1270,0,0,0,
36030,22415.84100341797,1270,3261.773994445801,0.0,1270,0,0,0,
36032,11312.299057006836,1239,2492.982008934021,0.0,1239,0,0,0,
36033,58334.77896118164,1239,10151.213027954102,0.0,1239,0,0,0,
36034,23038.972076416016,1239,3854.896984100342,0.0,1239,0,0,0,
36035,43493.86814880371,1239,5558.883987426758,0.0,1239,0,0,0,
36036,27636.51596069336,1239,3382.634017944336,0.0,1239,0,0,0,
36037,7662.953018188477,1239,511.24999475479126,0.0,1239,0,0,0,
36038,16921.239936828613,1239,1703.8859972953796,0.0,1239,0,0,0,
36039,18143.091918945312,1239,412.81599950790405,0.0,1239,0,0,0,
36040,10203.058044433594,1239,503.3060026168823,0.0,1239,0,0,0,
36041,37658.3508605957,1239,5772.65096950531,0.0,1239,0,0,0,
36042,33174.7219543457,1239,5524.88302230835,0.0,1239,0,0,0,
36043,14899.236938476562,509,1916.1789855957031,0.0,509,0,0,0,
36044,33616.60192871094,693,3859.1450414657593,0.0,693,0,0,0,
36045,40421.914611816406,1239,7788.4410400390625,0.0,1239,0,0,0,
36046,16369.882919311523,1239,1709.591989517212,0.0,1239,0,0,0,
36047,5182.485023498535,1239,634.8880052566528,0.0,1239,0,0,0,
36085,9341.91291809082,1270,547.6519980430603,0.0,1270,0,0,0,
36086,855.6539998054504,783,108.06900095939636,292.4939880371094,783,14,0,0,50.5
36087,11790.637954711914,1148,653.9259924888611,0.15399999916553497,1148,0,0,0,45.0
36088,71609.73565673828,1270,5435.404998779297,0.0,1270,0,0,0,
36089,57725.64599609375,1270,13512.752062797546,0.0,1270,0,0,0,
36090,69210.89113235474,1270,7308.877060055733,11921.903222084045,1270,176,92,92,50.0
36092,4542.218002319336,1270,288.6849970817566,0.0,1270,0,0,0,
36093,3516.5809841156006,1270,155.25999569892883,0.0,1270,0,0,0,
36094,7067.091018676758,1270,283.75699949264526,0.0,1270,0,0,0,
