mp_id,is_production_meter,is_silver_pv,exp_kwh,imp_kwh,best_summer_midday_days,peak_slot_med
18654,False,False,0.0,22256.244110107426,0,
18655,False,False,0.0,19933.59701538086,0,
18656,False,False,0.0,15583.742889404297,0,
18657,False,False,0.0,8834.69499206543,0,
18658,False,False,0.0,405.5160160064697,0,
18660,False,False,0.0,2612.3740310668945,0,
18661,False,False,0.0,2980.5479936525226,0,
18662,False,False,0.0,2913.0540199279785,0,
18663,False,False,0.0080000003799796,3580.8409855365758,0,38.5
18664,False,False,0.0,2035.8909950256348,0,
18665,False,False,0.0,135985.06079101562,0,
18666,False,False,0.0,9358.584022521973,0,
18667,False,False,0.0,12797.93196105957,0,
18668,False,False,0.0,7742.427978515625,0,
18669,False,False,0.0,2641.0820083618164,0,
18670,False,False,0.0,36707.48184967041,0,
18671,False,False,0.0,10822.8369140625,0,
18672,False,False,0.0,14857.478942871094,0,
18673,False,False,0.0,34756.59503173828,0,
18674,False,False,0.0,4178.061019897461,0,
18675,False,False,0.0,10567.155952453611,0,
18676,False,False,0.0,7811.935012817383,0,
18677,False,False,0.0,5698.464000344276,0,
18678,False,False,0.0,8542.655962228775,0,
18679,False,False,0.0,11305.509033203123,0,
18680,False,True,6100.330075979233,66601.82710456848,112,49.75
18681,False,False,0.0,33326.70300292969,0,
18682,False,False,0.0,15774.061126708984,0,
18683,False,False,0.0,9767.919052124023,0,
18684,False,False,0.0,3954.302976608277,0,
18685,False,False,0.0,6413.300003051758,0,
18686,False,False,0.0,25197.8592376709,0,
18687,False,False,0.0,0.0,0,
18703,False,False,1227.1380138071254,699255.6198120117,39,54.0
18743,False,False,0.0,59144.75396728516,0,
18763,False,False,0.0,1165.1400029659271,0,
18803,False,False,0.0,13663.000961303713,0,
18804,False,False,0.0,5493.081008911133,0,
18805,False,False,0.0,12774.045059204102,0,
18806,False,False,0.0,4591.552001953125,0,
18807,False,False,6.410000178962946,39768.69448852539,0,35.5
18808,False,False,0.0,51819.98852539063,0,
18809,False,False,0.0,21097.425201416016,0,
18810,False,False,0.0,13358.648025512695,0,
18811,False,False,0.0,8632.443141937256,0,
18812,False,False,0.0,35813.578033447266,0,
18813,False,False,0.0,34569.774017333984,0,
18814,False,False,0.0,38484.09292602539,0,
18816,False,False,0.0,30521.569122314453,0,
18817,False,False,1491.7549438476562,3686.829078674317,9,52.0
18818,False,False,0.0,31930.76791381836,0,
18819,False,False,465.9800068309996,15702.67121887207,0,49.75
18820,False,False,0.0,23893.623901367188,0,
18821,False,False,0.0,18834.4020690918,0,
18822,False,False,0.0,35012.05703735352,0,
18823,False,False,0.0,29771.99676513672,0,
18824,False,False,0.0,13039.97597503662,0,
18825,False,False,0.0,12319.812072753906,0,
18826,False,False,0.0,28751.86228179932,0,
18827,False,False,0.0,12935.343063354492,0,
18828,False,False,0.0,59342.75201416016,0,
18829,False,False,0.0,23722.581115722656,0,
18830,False,False,0.0,85.59300088509917,0,
18831,False,False,0.0,6387.674011230469,0,
18832,False,False,0.0,5719.4869956970215,0,
18833,False,False,0.0,2248.6260261535645,0,
18834,False,False,0.0,10385.93800354004,0,
18835,False,False,0.0,11719.461074829102,0,
18836,False,False,0.0,5475.352958679199,0,
18837,False,False,0.0,7043.331024169922,0,
18838,False,False,0.0,3078.950979232788,0,
18839,False,False,0.0,572.6300096511841,0,
18840,False,False,0.0,46410.37292480469,0,
