gp_nr;n_meters;n_meters_with_data;meter_max_winter_summer_ratio;meter_min_summer_share;n_heat_pump_like_meters;n_production_only_meters;meter_max_imp_kwh;meter_min_imp_kwh;household_imp_kwh;household_exp_kwh;is_winter_dominant;has_dedicated_hp_meter;has_production_only_meter;is_multi_meter;is_multi_unit;meter_concentration
727135;1;1;0.0;1.0;0;0;1248.243020772934;1248.243020772934;1248.243020772934;5370.829994320869;0;0;0;0;0;1.0
727137;1;1;0.0;1.0;0;0;1052.7049989700317;1052.7049989700317;1052.7049989700317;5702.673052072525;0;0;0;0;0;1.0
727423;1;1;42.610601666123586;0.022930204165855228;1;0;2506.205985546112;2506.205985546112;2506.205985546112;5283.499976789113;1;0;0;0;0;1.0
727903;1;1;3.4761419062257906;0.22340667944622505;0;0;3253.826006293297;3253.826006293297;3253.826006293297;17033.79904628347;0;0;0;0;0;1.0
729113;1;1;6.322934853238288;0.13655727109982252;1;0;31252.019069604576;31252.019069604576;31252.019069604576;12712.12682042038;1;0;0;0;0;1.0
730631;1;1;7.93054763148361;0.11197521599623028;1;0;18271.597032546997;18271.597032546997;18271.597032546997;19519.97198349214;1;0;0;0;0;1.0
731486;1;1;4.287166856503766;0.1891372122614016;1;0;19510.017009973526;19510.017009973526;19510.017009973526;15433.655997310998;1;0;0;0;0;1.0
731568;1;1;2.73005751309855;0.2680923810124586;0;0;8771.621043600142;8771.621043600142;8771.621043600142;9872.95893632411;0;0;0;0;0;1.0
731681;1;1;46.013389673468055;0.02127053605250567;1;0;7084.391996085644;7084.391996085644;7084.391996085644;27961.37333175924;1;0;0;0;0;1.0
732971;1;1;18.933532273496425;0.050166723402535;1;0;3620.0229759905487;3620.0229759905487;3620.0229759905487;8936.212823661743;1;0;0;0;0;1.0
733114;1;1;1.4456612651667833;0.4088873689267039;0;0;11373.925014019012;11373.925014019012;11373.925014019012;16263.473970848601;0;0;0;0;0;1.0
